Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,DRREDDY,EQ,1396.5,1505.0,1508.25,1505.0,1508.25,1508.25,1508.21,13280,2002904375000.0,,,
2000-01-04,DRREDDY,EQ,1508.25,1590.0,1628.95,1510.0,1628.95,1628.95,1579.29,57142,9024404910000.0,,,
2000-01-05,DRREDDY,EQ,1628.95,1549.0,1650.0,1499.0,1566.0,1568.05,1594.99,119697,19091553600000.0,,,
2000-01-03,EICHERMOT,EQ,45.2,48.0,48.85,48.0,48.85,48.85,48.75,4100,19987000000.0,,,
2000-01-04,EICHERMOT,EQ,48.85,52.0,52.75,50.15,51.8,51.4,51.44,49100,252588000000.0,,,
2000-01-05,EICHERMOT,EQ,51.4,55.0,55.55,51.05,55.55,55.55,53.99,47800,258073000000.0,,,
2000-01-03,GAIL,EQ,67.8,65.0,70.0,65.0,68.8,68.7,67.91,76055,516516560000.0,,,
2000-01-04,GAIL,EQ,68.7,69.85,72.9,66.0,67.0,66.35,67.29,98097,660045745000.0,,,
2000-01-05,GAIL,EQ,66.35,68.35,68.7,61.1,63.0,63.2,65.24,92690,604688925000.0,,,
2000-01-03,GRASIM,EQ,405.8,429.9,438.3,425.0,438.3,438.3,432.24,101578,4390621335000.0,,,
2000-01-04,GRASIM,EQ,438.3,437.5,440.0,420.05,439.5,437.15,428.27,126117,5401215770000.0,,,
2000-01-05,GRASIM,EQ,437.15,420.1,447.9,412.0,430.0,439.6,436.1,163877,7146660280000.0,,,
2000-01-11,HCLTECH,EQ,580.0,1550.0,1725.0,1492.0,1560.0,1554.45,1582.72,1192200,188691461000000.0,,,
2000-01-12,HCLTECH,EQ,1554.45,1560.0,1678.85,1560.0,1678.85,1678.85,1657.05,344850,57143494500000.0,,,
2000-01-13,HCLTECH,EQ,1678.85,1790.0,1813.2,1781.0,1813.2,1813.2,1804.69,53000,9564879750000.0,,,
2000-01-03,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,667536400000.0,,,
2000-01-04,HDFC,EQ,293.5,317.0,317.0,297.0,304.0,304.05,303.62,255251,7749972375000.0,,,
2000-01-05,HDFC,EQ,304.05,290.0,303.9,285.0,295.0,292.8,294.53,269087,7925367705000.0,,,
2000-01-03,HDFCBANK,EQ,157.4,166.0,170.0,166.0,170.0,170.0,169.52,33259,563812250000.0,,,
2000-01-04,HDFCBANK,EQ,170.0,182.0,183.45,171.0,174.0,173.8,174.99,168710,2952261350000.0,,,
2000-01-05,HDFCBANK,EQ,173.8,170.0,173.9,165.0,168.0,166.95,169.2,159820,2704093975000.0,,,
2000-01-03,HEROHONDA,EQ,1145.2,1200.0,1236.8,1171.0,1209.95,1207.6,1209.11,10631,1285400800000.0,,,
2000-01-04,HEROHONDA,EQ,1207.6,1200.0,1220.0,1176.0,1200.0,1199.85,1200.93,19849,2383719075000.0,,,
2000-01-05,HEROHONDA,EQ,1199.85,1155.0,1178.0,1140.0,1140.0,1143.8,1159.74,2525,292835460000.0,,,
2011-08-08,HEROMOTOCO,EQ,1785.35,1745.0,1863.8,1720.0,1854.0,1855.55,1826.69,446162,81500115170000.0,16591.0,254502.0,0.5704
2011-08-09,HEROMOTOCO,EQ,1855.55,1791.0,1880.0,1791.0,1850.25,1853.4,1851.28,462295,85583764385000.0,27942.0,211138.0,0.4567000000000001
2011-08-10,HEROMOTOCO,EQ,1853.4,1866.1,1889.6,1846.5,1885.0,1883.95,1873.7,432000,80943997915000.0,24711.0,253093.0,0.5859000000000001
2000-01-03,HINDALC0,EQ,813.45,851.0,878.5,851.0,869.0,867.45,869.86,33799,2940055005000.0,,,
2000-01-04,HINDALC0,EQ,867.45,879.0,930.0,870.0,900.0,900.35,903.51,70944,6409848250000.0,,,
2000-01-05,HINDALC0,EQ,900.35,835.0,972.4,835.0,972.4,972.35,949.32,153030,14527435500000.0,,,
2007-08-27,HINDALCO,EQ,142.0,144.0,149.4,143.55,149.4,148.6,147.26,3153223,46435514715000.0,,1994968.0,0.6327
2007-08-28,HINDALCO,EQ,148.6,148.6,154.4,148.05,153.0,153.35,152.51,3549254,54130713320000.01,,2011323.0,0.5667
2007-08-29,HINDALCO,EQ,153.35,151.0,157.0,150.0,156.55,156.45,154.55,3535895,54645617775000.0,,1859581.0,0.5259
2000-01-03,HINDLEVER,EQ,2136.6,2300.0,2307.55,2300.0,2307.55,2307.55,2307.08,24903,5745329890000.0,,,
2000-01-04,HINDLEVER,EQ,2307.55,2381.0,2381.0,2250.0,2270.0,2281.05,2298.15,58514,13447400525000.0,,,
2000-01-05,HINDLEVER,EQ,2281.05,2200.0,2250.0,2105.0,2183.5,2199.9,2211.17,80296,17754819445000.0,,,
2007-07-19,HINDUNILVR,EQ,198.8,199.0,199.75,194.65,198.5,197.8,197.1,2066807,40737159780000.0,,1092909.0,0.5288
2007-07-20,HINDUNILVR,EQ,197.8,198.0,199.9,192.55,194.2,194.15,194.32,2678230,52042716555000.0,,1813468.0,0.6770999999999999
2007-07-23,HINDUNILVR,EQ,194.15,199.5,205.8,198.0,203.8,204.85,202.75,6892251,139740607925000.0,,5530516.0,0.8024
2000-01-03,ICICIBANK,EQ,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260,2095439040000.0,,,
2000-01-04,ICICIBANK,EQ,74.75,73.05,78.5,71.0,73.25,73.05,73.38,296264,2173892790000.0,,,
2000-01-05,ICICIBANK,EQ,73.05,70.0,73.5,67.5,70.0,69.5,70.85,227624,1612793995000.0,,,
2000-01-03,INDUSINDBK,EQ,26.8,28.9,28.95,28.0,28.95,28.95,28.69,107224,307582690000.0,,,
2000-01-04,INDUSINDBK,EQ,28.95,30.85,31.25,27.9,30.6,30.25,29.12,182693,532073100000.0,,,
2000-01-05,INDUSINDBK,EQ,30.25,29.9,30.0,27.85,28.45,28.15,28.72,162820,467571720000.0,,,
2012-12-28,INFRATEL,EQ,220.0,200.0,200.85,188.65,191.0,191.65,194.06,35351056,686009974700000.0,210800.0,12889842.0,0.3646
2012-12-31,INFRATEL,EQ,191.65,191.85,195.5,188.25,193.65,193.7,193.51,6021827,116525629409999.98,49322.0,2405884.0,0.3995
2013-01-01,INFRATEL,EQ,193.7,194.7,199.8,194.0,197.65,197.75,197.64,2619486,51771639640000.0,20341.0,463798.0,0.1771
2000-01-03,INFOSYSTCH,EQ,14467.75,15625.0,15625.2,15625.0,15625.2,15625.2,15625.18,5137,8026657140000.001,,,
